Bid1,Bid2,Bid3,Reject
32.48,25.19,33.23,0
25.15,12.7,31.79,0
18.87,8.64,34.64,0
33.84,6.22,33.57,0
7.4,31.64,31.23,0
16.58,27.6,9.87,0
5.49,29.06,9.4,0
22.76,18.24,24.49,0
22.05,7.26,28.7,1
5.37,9.63,7.17,0
22.69,12.42,12.34,0
15.81,7.38,5.32,0
5.76,30.59,11.98,0
34.36,9.72,12.65,0
8.97,23.5,32.37,0
21.52,20.85,16.03,0
30.9,10.74,6.14,0
25.48,27.79,24.52,0
6.05,23.45,29.49,0
18.21,9.56,7.51,0
18.19,18.64,5.34,0
27.98,25.46,15.97,1
35,13.44,17.38,0
12.72,23.75,17.48,0
31.57,33.25,18.9,1
6.49,22,18.98,0
14.95,25.79,21.44,0
26.89,34.36,20.98,0
19.96,31.97,20.23,0
21.4,24.45,28.43,0
11.74,34.49,13.7,0
8.69,9.91,21.52,0
19.56,20.29,22.24,0
31.22,23.82,11.12,0
24.24,29,21.66,0
18.45,17.53,11.42,0
9.11,6.65,21.47,0
9.23,20.57,7.09,1
34.48,9.04,30.81,0
34.16,16.01,11.25,1
17.87,25.9,12.16,0
27.68,8.89,16.42,0
21.76,28.58,13.62,0
27.7,6.51,27.52,0
34.28,29.47,14.57,0
6.26,31.01,8.22,0
15.53,10.91,29.18,0
19.3,23.22,12.56,1
10.25,34.9,20.12,0
15.68,6.27,6.2,0
31.65,9.16,23.73,1
7.07,11.69,16.62,0
7.78,22.49,14.25,0
11.17,25.13,14.96,0
23.46,26.7,32.95,0
13.2,20.13,19.04,0
27.43,24.34,5,0
14.17,6.09,26.77,0
27.96,10.82,16.98,1
12.59,27.49,5.69,0
25.13,14.25,24.13,0
8.96,27.47,18.18,1
33.27,30.56,22.75,0
18.34,7.98,23.54,0
15.74,22.93,18.62,0
10.09,26.62,6.47,0
19.97,22.06,26.59,0
18.56,12.05,27.2,0
6.99,32.32,17.14,0
31.64,33.52,6.54,0
32.23,20.49,33.44,0
28.48,26.21,31.32,1
19.16,28.96,29.83,0
28.88,10.99,18.46,0
31.27,8.21,31.53,0
25.17,23.56,30.61,0
7.11,5.67,24.43,1
8.73,6.13,20.2,0
17.76,8.46,7.28,0
28.48,29.56,15.87,0
22.67,16.31,11.93,1
19.16,11.87,30.81,1
6.01,16.04,24.03,0
10.4,10.24,26.94,1
32.95,28.24,9.69,0
22.72,14.9,33.49,0
20.19,14.47,17.01,0
11.55,26.74,23.34,0
33.56,22.55,28.95,0
15.87,28.33,25.59,0
18.76,15.79,5,0
29.92,10.54,20.08,0
28.72,22.21,34.57,0
18.23,19.49,5.21,1
23.72,17.65,6.23,0
33.67,14.52,8.1,0
24.9,34.18,23.1,1
12.99,12.75,6.39,1
26.69,22.01,17.66,0
21.83,15.56,15.68,1
34.19,14.36,25.93,1
14.03,5.28,15.89,1
19.91,25.04,14.74,0
13.52,31.57,25.32,0
7.23,17.64,22.5,1
8.34,30.76,12.21,1
7.26,33.44,16.25,0
34.89,16.28,11.14,1
22.99,11.1,12.76,0
28.67,10.38,30.42,0
30.84,14.19,17.81,0
29.81,30.51,24.71,0
33.11,20.77,20.94,0
6.08,29.85,33.11,0
9.19,8.21,15,1
26.76,23.51,15.83,0
31.16,22,27.39,0
16.22,12.83,30.92,0
11.49,5.07,5.66,1
22.28,13.62,30.49,1
5.77,29.64,29.23,0
6.31,31.85,21.28,0
33,34.87,18.01,0
17.05,5.25,23.07,0
28.55,26.99,15.05,0
12.28,7.54,28.34,0
23.26,24,7.9,0
31.8,29.15,18.56,0
23.88,29.9,27.86,0
32.72,22.02,23.77,0
34.87,12.8,5.04,0
9.5,28.54,5.52,0
5.74,10.08,18.71,0
32.34,13.23,11.65,0
9.44,5.15,16.14,0
7.7,16.93,18.24,0
26.47,5.8,6.82,1
10.25,30.64,15.92,0
9.79,11.15,16.31,0
19.37,30.81,14.04,0
33.46,6.68,32.55,0
27.23,11.71,19.32,0
25.17,6.36,10.41,1
7.11,27.53,13.91,1
14.18,25.94,29.88,0
33.1,32.56,23.54,0
30.71,32.27,24.91,0
31.73,29.17,23.49,0
22.66,34.99,12.84,0
9.88,29.02,31.17,0
10.28,14.69,5.16,0
27.43,5.75,15.96,0
33.36,26.98,22.76,0
24.74,19.18,32.75,0
21.31,16.78,18.74,0
22.93,30.8,17.73,0
12.04,6.72,24.65,0
29.59,16.54,27.93,0
28.65,9.26,16.39,0
22.67,6.37,18.62,0
18.09,25.94,24.31,0
21.49,32.41,27.05,0
15.59,16.51,24.01,1
34.87,12.29,28.49,0
15.95,32.21,6.03,0
33.99,26.06,8.03,0
5.74,31.87,6.25,0
28.34,33.44,9.82,0
18.21,33.1,30.05,1
23.91,34.9,21.78,1
14.42,16.91,10.16,0
32.65,24.8,33.16,1
11.7,29.69,21.26,0
16.23,23.67,29.91,0
14.24,26.02,14.52,1
6.13,19.69,11.98,0
23.16,20.26,26.06,0
30.08,28.39,20.59,1
22.65,6.21,13.58,0
15.9,32.03,5.83,0
9.2,26.96,9.58,0
8.5,23.47,28.52,0
34.44,27.66,20.56,0
21.25,13.53,17.5,0
7.6,11.19,8.26,0
12.68,24.57,23.94,0
11.29,32.84,8.8,0
14.44,29.14,22.42,0
32.11,15.51,10.54,0
20.62,13.11,19.85,0
9.87,27.34,15.06,0
9.31,26.69,11.21,1
6.92,30.7,8.15,0
30.64,32.56,9.61,1
34.23,13.07,31.2,0
32.87,25.64,26.73,1
17.29,23.54,5.11,0
32.05,7.15,29.31,0
19.53,10.65,12.37,0
19.09,15.07,31.58,0
10.03,14.33,30.18,0
7.49,17.61,15.67,1
23.99,7.63,14.46,0
14.33,21.8,9.63,0
18.99,25.03,16.65,0
11.33,8.46,14.16,0
5.04,14.47,29.64,0
28.93,34.42,13.4,0
16.04,31.58,30.54,0
5.45,5.68,10.86,1
26.45,30.9,15.65,0
11.56,12.35,15.38,0
25.66,18.01,22.57,0
12.38,9.06,18.69,0
12.98,11.47,6.15,1
8.96,28.24,16.4,0
15.33,7.62,21.39,0
27.63,17.01,7.05,0
31.68,22.7,11.4,0
26.31,10.9,28.16,0
12.39,25.9,23.91,0
